Subspeciality,Answer,GPT-4.1_ans,o3_ans,Claude 3.7 Sonnet_ans,Claude 3.7 Sonnet-thinking_ans,Gemini 2.5 Pro Preview_ans,Gemini 2.5 Flash Preview-thinking_ans
Neuroradiology & Head & Neck,d,d,a,a,a,a,a
Neuroradiology & Head & Neck,b,b,b,b,b,b,b
Neuroradiology & Head & Neck,a,c,c,c,c,c,c
Neuroradiology & Head & Neck,d,d,d,e,e,d,a
Neuroradiology & Head & Neck,e,e,e,e,e,c,e
Neuroradiology & Head & Neck,"c,e","a,d","a,d","a,b","a,b","c,d","a,c"
Neuroradiology & Head & Neck,e,d,c,c,c,c,c
Neuroradiology & Head & Neck,e,e,e,e,e,e,e
Neuroradiology & Head & Neck,c,b,c,a,d,e,e
Neuroradiology & Head & Neck,e,d,d,e,d,d,d
Neuroradiology & Head & Neck,d,d,d,d,d,d,d
Neuroradiology & Head & Neck,b,b,b,b,b,b,b
Neuroradiology & Head & Neck,b,b,b,c,c,b,c
Neuroradiology & Head & Neck,d,d,d,b,c,d,c
Neuroradiology & Head & Neck,b,b,b,b,b,b,b
Neuroradiology & Head & Neck,e,e,e,e,e,e,e
MSK & Breast,d,b,b,b,b,b,b
MSK & Breast,b,c,b,b,b,b,b
MSK & Breast,c,d,d,d,d,d,d
MSK & Breast,e,e,e,d,e,d,e
MSK & Breast,e,e,e,e,e,e,e
MSK & Breast,"c,d","c,d","b,e","c,d","c,d","c,d","c,d"
MSK & Breast,d,d,d,d,d,d,d
MSK & Breast,d,d,d,d,d,d,d
MSK & Breast,e,e,d,e,e,e,d
MSK & Breast,d,a ,e,e,e,a,a
MSK & Breast,e,e,a,e,e,e,e
Thoracic & Cardiac,e,b,b,b,b,e,e
Thoracic & Cardiac,b,c,b,b,c,b,b
Thoracic & Cardiac,d,d,d,d,d,d,d
Thoracic & Cardiac,c,c,a,e,b,a,c
Thoracic & Cardiac,b,b,b,b,b,b,b
Thoracic & Cardiac,"a,b","a,b","a,b","a,b","a,b","b,e","a,b"
Thoracic & Cardiac,a,b,b,a,a,a,a
Thoracic & Cardiac,c,c,c,c,c,c,c
Thoracic & Cardiac,e,c,e,e,e,e,e
Thoracic & Cardiac,d,d,d,b,b,d,b
Thoracic & Cardiac,c,e,e,e,e,e,e
Thoracic & Cardiac,c,c,c,c,c,c,c
Thoracic & Cardiac,c,c,c,c,c,c,c
Thoracic & Cardiac,d,d,d,d,d,d,d
Thoracic & Cardiac,c,c,c,c,d,c,c
Thoracic & Cardiac,e,e,e,e,e,e,e
Thoracic & Cardiac,e,e,e,e,e,e,e
Thoracic & Cardiac,e,e,e,e,e,e,e
Thoracic & Cardiac,"c,e","c,e","c,e","b,c","b,c","c,e","c,e"
Thoracic & Cardiac,d,d,d,d,d,d,d
Abdominal & Pelvic,b,e,b,b,b,b,b
Abdominal & Pelvic,"b,d","b,e","b,d","a,e","b,e","b,e","b,d"
Abdominal & Pelvic,c,d,d,e,d,d,d
Abdominal & Pelvic,a,a,a,a,a,a,a
Abdominal & Pelvic,e,e,e,e,c,e,e
Abdominal & Pelvic,d,b,b,b,b,b,e
Abdominal & Pelvic,a,a,a,a,a,a,a
Abdominal & Pelvic,b,b,c,c,c,c,e
Abdominal & Pelvic,b,e,b,e,e,b,e
Abdominal & Pelvic,e,b,e,b,b,b,b
Abdominal & Pelvic,c,d,c,e,c,c,c
Abdominal & Pelvic,e,d,e,e,e,e,e
Abdominal & Pelvic,a,c,c,c,c,a,c
Abdominal & Pelvic,d,d,d,d,d,d,d
Abdominal & Pelvic,d,d,d,d,d,d,e
Abdominal & Pelvic,b,b,b,e,c,b,b
Abdominal & Pelvic,d,d,d,d,c,d,d
Abdominal & Pelvic,"b,d","a,b","b,d","a,c","a,c","b,d","a,c"
Abdominal & Pelvic,e,e,e,e,e,e,e
Abdominal & Pelvic,b,b,b,b,d,d,d
Abdominal & Pelvic,c,c,c,c,c,c,c
Abdominal & Pelvic,d,c,c,a,c,d,d
Abdominal & Pelvic,"a,c","a,c","a,c","a,c","a,c","a,c","a,c"
Abdominal & Pelvic,"b,e","b,e","b,e","b,e","b,e",b.e,"b,e"
Abdominal & Pelvic,c,c,c,c,c,c,c
Abdominal & Pelvic,d,b,d,b,d,d,d
Abdominal & Pelvic,c,d,b,d,c,c,d
Nuclear Medicine,d,b,b,b,b,b,b
Nuclear Medicine,d,d,d,e,d,d,e
Nuclear Medicine,c,b,b,b,b,b,b
Nuclear Medicine,d,d,d,b,b,d,e
Nuclear Medicine,e,a,e,e,a,e,e
Nuclear Medicine,d,d,d,d,d,d,d
Nuclear Medicine,d,d,a,a,a,d,a
Nuclear Medicine,b,b,b,b,b,b,b
Nuclear Medicine,b,b,b,b,b,d,b
Nuclear Medicine,c,c,c,c,c,c,c
Nuclear Medicine,e,e,e,e,e,e,e
Nuclear Medicine,e,c,e,c,c,e,e
Nuclear Medicine,d,d,d,d,d,d,d
Nuclear Medicine,c,e,e,e,e,e,d
Nuclear Medicine,d,c,c,c,c,c,c
Nuclear Medicine,d,d,d,d,d,d,d
Nuclear Medicine,a,e,e,e,e,a,c
Nuclear Medicine,e,e,e,e,e,e,e
Nuclear Medicine,d,c,d,c,d,d,d
Nuclear Medicine,d,d,d,d,d,d,d
Other,b,d,d,b,b,b,b
Other,a,a,a,a,a,a,a
Other,d,d,d,d,d,d,d
Other,"a,d","a,d","a,d","a,d","a,d","a,d","a,d"
Other,a,a,a,a,a,a,a
Other,a,b,a,c,a,a,a
